drawNumber,drawDate,n1,n2,n3,n4,n5,b1
468,2008-07-29,7,8,13,24,27,10
467,2008-07-22,1,2,13,15,23,26
466,2008-07-15,15,16,19,20,29,17
465,2008-07-08,13,18,21,25,28,7
464,2008-07-01,1,12,16,22,28,15
463,2008-06-24,12,13,16,21,23,18
462,2008-06-17,4,19,22,25,29,27
461,2008-06-10,6,12,17,20,26,11
460,2008-06-03,10,11,25,27,30,4
459,2008-05-27,12,13,26,27,29,2
458,2008-05-20,6,8,15,24,31,1
457,2008-05-13,2,16,17,22,28,11
456,2008-05-06,6,8,10,16,20,2
455,2008-04-29,1,10,16,24,26,9
454,2008-04-22,2,5,13,20,24,12
453,2008-04-15,4,7,12,17,27,24
452,2008-04-08,2,12,16,18,30,20
451,2008-04-01,3,7,12,14,16,31
450,2008-03-25,2,5,8,13,27,26
449,2008-03-18,7,8,10,11,20,12
448,2008-03-11,1,7,12,17,18,25
447,2008-03-04,14,17,20,25,26,8
446,2008-02-26,10,11,15,16,17,4
445,2008-02-19,7,16,18,26,31,25
444,2008-02-12,1,11,17,30,31,13
443,2008-02-05,5,17,22,23,30,20
442,2008-01-29,5,8,19,24,30,17
441,2008-01-22,6,8,19,28,30,17
440,2008-01-15,5,12,13,21,30,28
439,2008-01-08,10,17,19,21,23,16
438,2007-12-25,1,2,10,13,21,16
437,2007-12-18,9,13,15,28,31,12
436,2007-12-11,7,8,18,21,24,17
435,2007-12-04,8,19,22,25,27,6
434,2007-11-27,1,6,10,11,22,18
433,2007-11-20,1,12,17,20,27,14
432,2007-11-13,3,9,14,22,25,12
431,2007-11-06,3,12,14,24,25,2
430,2007-10-30,3,7,16,18,21,27
429,2007-10-23,11,18,22,26,30,20
428,2007-10-16,11,20,24,27,29,21
427,2007-10-09,9,14,19,20,26,16
426,2007-10-02,3,15,17,21,26,29
425,2007-09-25,4,10,20,25,28,6
424,2007-09-18,3,4,8,11,31,24
423,2007-09-11,8,14,16,24,31,7
422,2007-09-04,10,12,15,21,27,24
421,2007-08-28,11,14,24,28,29,16
420,2007-08-21,2,10,13,23,27,18
419,2007-08-14,5,12,19,20,27,28
418,2007-08-07,13,16,22,27,30,4
417,2007-07-31,3,9,12,23,24,22
416,2007-07-24,4,6,13,15,22,7
415,2007-07-17,11,16,24,28,30,22
414,2007-07-10,5,7,10,20,27,21
413,2007-07-03,8,14,21,23,29,17
412,2007-06-26,1,5,6,9,23,16
411,2007-06-19,5,8,12,19,22,11
410,2007-06-12,3,10,19,20,31,15
409,2007-06-05,2,11,19,27,28,5
408,2007-05-29,7,12,22,26,30,4
407,2007-05-22,5,15,21,22,31,10
406,2007-05-15,5,13,19,28,29,1
405,2007-05-08,8,9,13,27,31,17
404,2007-05-01,1,8,11,26,28,24
403,2007-04-24,2,5,16,30,31,18
402,2007-04-17,10,20,22,24,27,8
401,2007-04-10,11,13,18,26,30,6
400,2007-04-03,12,20,22,24,25,26
399,2007-03-27,7,13,23,27,31,8
398,2007-03-20,10,17,25,27,31,26
397,2007-03-13,1,14,17,24,25,29
396,2007-03-06,1,6,21,25,28,22
395,2007-02-27,6,21,22,23,31,3
394,2007-02-20,2,5,21,27,31,25
393,2007-02-13,15,17,18,22,30,11
392,2007-02-06,3,13,15,25,30,26
391,2007-01-30,1,10,15,30,31,21
390,2007-01-23,11,14,23,29,30,20
389,2007-01-16,8,11,13,27,30,6
388,2007-01-09,4,8,19,27,31,11
387,2006-12-26,16,26,28,29,30,11
386,2006-12-19,1,3,5,7,23,14
385,2006-12-12,6,14,20,24,27,3
384,2006-12-05,4,9,15,25,29,5
383,2006-11-28,4,7,9,17,31,12
382,2006-11-21,7,9,11,14,23,19
381,2006-11-14,3,9,19,22,23,21
380,2006-11-07,2,11,12,17,31,15
379,2006-10-31,2,8,15,19,28,26
378,2006-10-24,6,8,15,21,24,5
377,2006-10-17,1,12,20,21,30,6
376,2006-10-10,7,13,21,25,28,2
375,2006-10-03,1,10,20,23,24,16
374,2006-09-26,9,17,27,28,29,8
373,2006-09-19,3,5,11,12,29,22
372,2006-09-12,1,5,22,25,30,12
371,2006-09-05,10,12,19,23,31,27
370,2006-08-29,10,12,16,26,28,21
369,2006-08-22,4,10,23,29,30,31
368,2006-08-15,1,8,17,28,29,6
367,2006-08-08,4,6,14,19,31,9
366,2006-08-01,2,11,14,19,30,3
365,2006-07-25,6,10,18,27,28,14
364,2006-07-18,5,9,13,20,23,18
363,2006-07-11,4,10,12,17,22,16
362,2006-07-04,4,17,19,20,31,7
361,2006-06-27,2,4,6,12,30,5
360,2006-06-20,6,11,20,27,28,5
359,2006-06-13,3,11,15,18,19,22
358,2006-06-06,4,13,18,27,31,23
357,2006-05-30,15,24,26,28,29,16
356,2006-05-23,6,11,17,19,22,21
355,2006-05-16,8,9,24,27,29,31
354,2006-05-09,3,6,17,19,30,1
353,2006-05-02,3,13,14,17,25,18
352,2006-04-25,5,7,14,17,30,29
351,2006-04-18,3,6,11,12,27,26
350,2006-04-11,3,9,22,24,28,27
349,2006-04-04,3,5,6,7,12,18
348,2006-03-28,8,9,11,12,18,23
347,2006-03-21,10,11,20,23,27,13
346,2006-03-14,4,14,18,26,31,3
345,2006-03-07,7,14,16,17,29,18
344,2006-02-28,4,9,13,21,23,31
343,2006-02-21,6,10,15,27,30,8
342,2006-02-14,2,15,24,25,27,9
341,2006-02-07,2,5,17,18,26,3
340,2006-01-31,10,14,18,23,25,31
339,2006-01-24,4,9,11,15,23,26
338,2006-01-17,1,3,19,21,27,9
337,2006-01-10,4,7,21,22,23,15
336,2005-12-27,10,14,20,27,28,8
335,2005-12-20,14,16,23,25,31,22
334,2005-12-13,7,12,22,23,25,13
333,2005-12-06,19,21,22,26,28,24
332,2005-11-29,4,9,24,28,29,25
331,2005-11-22,6,19,21,29,30,24
330,2005-11-15,3,13,15,19,24,8
329,2005-11-08,5,14,15,17,29,10
328,2005-11-01,1,2,11,12,18,8
327,2005-10-25,8,14,19,25,28,16
326,2005-10-18,1,3,6,11,25,12
325,2005-10-11,8,11,13,15,28,22
324,2005-10-04,5,6,13,29,30,17
323,2005-09-27,5,15,19,22,27,29
322,2005-09-20,5,8,10,28,31,2
321,2005-09-13,2,11,18,21,27,15
320,2005-09-06,6,7,13,28,30,12
319,2005-08-30,3,20,21,22,27,9
318,2005-08-23,9,18,19,30,31,16
317,2005-08-16,8,10,11,22,23,12
316,2005-08-09,24,25,28,29,30,27
315,2005-08-02,7,11,15,28,31,14
314,2005-07-26,2,7,16,18,20,28
313,2005-07-19,1,7,26,27,31,30
312,2005-07-12,7,12,17,18,21,11
311,2005-07-05,2,17,19,28,29,10
310,2005-06-28,6,14,17,24,25,11
309,2005-06-21,8,14,17,22,23,1
308,2005-06-14,1,13,17,22,27,16
307,2005-06-07,2,10,15,21,28,12
306,2005-05-31,17,20,23,24,31,11
305,2005-05-24,10,11,13,16,24,22
304,2005-05-17,3,10,11,14,20,17
303,2005-05-10,13,14,16,19,25,1
302,2005-05-03,6,7,9,14,20,22
301,2005-04-26,5,11,16,26,31,12
300,2005-04-19,10,13,16,22,28,7
299,2005-04-12,2,9,15,26,31,11
298,2005-04-05,8,10,12,15,22,16
297,2005-03-29,5,9,18,25,30,31
296,2005-03-22,8,14,18,24,29,19
295,2005-03-15,8,14,16,17,26,5
294,2005-03-08,14,23,26,29,31,28
293,2005-03-01,14,15,16,24,25,12
292,2005-02-22,2,7,13,25,31,17
291,2005-02-15,4,8,21,23,26,22
290,2005-02-08,3,8,11,23,30,5
289,2005-02-01,5,6,11,24,28,18
288,2005-01-25,6,16,21,29,31,18
287,2005-01-18,2,7,14,19,21,1
286,2005-01-11,14,15,20,22,30,2
285,2005-01-04,8,17,19,24,26,16
284,2004-12-28,1,5,8,11,18,30
283,2004-12-21,11,15,19,20,29,1
282,2004-12-14,1,2,18,27,29,13
281,2004-12-07,5,7,11,13,21,27
280,2004-11-30,4,9,13,15,19,12
279,2004-11-23,2,7,19,23,25,11
278,2004-11-16,8,12,13,14,24,16
277,2004-11-09,4,14,16,19,22,10
276,2004-11-02,12,16,19,20,23,11
275,2004-10-26,11,16,17,21,22,19
274,2004-10-19,7,8,9,16,25,12
273,2004-10-12,3,5,7,11,17,23
272,2004-10-05,4,16,21,28,29,9
271,2004-09-28,6,13,15,24,31,20
270,2004-09-21,9,10,11,14,19,21
269,2004-09-14,3,7,20,23,29,16
268,2004-09-07,17,18,20,27,31,13
267,2004-08-31,8,14,15,19,25,31
266,2004-08-24,3,8,25,28,31,6
265,2004-08-17,1,3,24,26,28,21
264,2004-08-10,2,4,7,25,30,15
263,2004-08-03,15,25,28,30,31,2
262,2004-07-27,5,19,23,27,28,2
261,2004-07-20,2,3,5,14,29,18
260,2004-07-13,6,7,17,19,23,28
259,2004-07-06,5,7,11,12,23,17
258,2004-06-29,4,6,9,19,22,5
257,2004-06-22,2,9,12,20,31,10
256,2004-06-15,5,9,15,16,27,28
255,2004-06-08,12,17,20,27,29,18
254,2004-06-01,3,7,22,25,29,27
253,2004-05-25,1,3,10,21,25,29
252,2004-05-18,12,18,24,27,31,22
251,2004-05-11,1,3,19,20,23,28
250,2004-05-04,1,3,11,12,31,22
249,2004-04-27,9,11,12,18,20,7
248,2004-04-20,4,13,16,24,29,12
247,2004-04-13,7,11,19,27,31,2
246,2004-04-06,1,12,15,20,23,4
245,2004-03-30,1,10,14,21,28,23
244,2004-03-23,6,11,21,22,25,15
243,2004-03-16,4,11,15,27,28,1
242,2004-03-09,5,12,23,27,31,14
241,2004-03-02,1,2,4,13,26,7
240,2004-02-24,2,6,14,28,29,11
239,2004-02-17,16,18,21,23,27,31
238,2004-02-10,13,15,17,22,25,26
237,2004-02-03,6,8,17,18,28,20
236,2004-01-27,14,17,23,24,29,3
235,2004-01-20,5,6,16,17,31,8
234,2004-01-13,16,18,22,23,26,2
233,2004-01-06,8,14,19,21,29,25
232,2003-12-30,3,12,20,24,26,31
231,2003-12-23,3,4,10,11,24,28
230,2003-12-16,4,16,17,25,26,19
229,2003-12-09,12,19,23,24,30,6
228,2003-12-02,10,17,21,24,27,2
227,2003-11-25,2,4,7,21,30,20
226,2003-11-18,4,12,14,26,30,28
225,2003-11-11,13,14,18,24,26,16
224,2003-11-04,12,16,27,30,31,14
223,2003-10-28,4,10,16,19,22,21
222,2003-10-21,10,18,21,26,28,9
221,2003-10-14,4,8,14,22,26,9
220,2003-10-07,9,10,11,21,29,5
219,2003-09-30,1,15,17,21,28,6
218,2003-09-23,9,16,24,25,29,23
217,2003-09-16,2,8,17,19,23,21
216,2003-09-09,3,7,13,16,17,2
215,2003-09-02,4,15,20,21,28,16
214,2003-08-26,2,8,16,18,28,12
213,2003-08-19,1,2,3,9,29,27
212,2003-08-12,1,5,10,14,30,26
211,2003-08-05,9,10,13,18,22,15
210,2003-07-29,9,10,18,19,29,21
209,2003-07-22,7,17,23,27,29,12
208,2003-07-15,6,10,13,16,17,29
207,2003-07-08,3,4,10,16,25,7
206,2003-07-01,6,8,12,27,31,24
205,2003-06-24,3,4,13,14,23,12
204,2003-06-17,7,18,22,24,29,9
203,2003-06-10,4,10,18,22,25,20
202,2003-06-03,6,10,11,18,31,25
201,2003-05-27,3,5,23,25,26,17
200,2003-05-20,1,4,12,13,18,25
199,2003-05-13,1,9,21,26,29,25
198,2003-05-06,13,20,21,25,28,14
197,2003-04-29,8,18,20,21,31,1
196,2003-04-22,2,4,14,21,22,16
195,2003-04-15,1,2,6,15,23,21
194,2003-04-08,3,6,15,17,23,1
193,2003-04-01,6,8,18,20,22,11
192,2003-03-25,6,7,10,11,17,3
191,2003-03-18,1,6,8,12,13,2
190,2003-03-11,4,5,21,27,29,2
189,2003-03-04,9,16,22,25,26,3
188,2003-02-25,7,16,24,25,28,30
187,2003-02-18,4,6,17,24,25,1
186,2003-02-11,8,12,20,21,25,22
185,2003-02-04,7,19,20,25,28,2
184,2003-01-28,2,10,23,30,31,16
183,2003-01-21,3,9,13,25,26,7
182,2003-01-14,2,10,14,23,24,6
181,2003-01-07,1,3,14,16,26,12
180,2002-12-24,17,18,19,21,28,22
179,2002-12-17,1,7,26,30,31,12
178,2002-12-10,3,24,26,28,31,20
177,2002-12-03,7,13,17,21,30,20
176,2002-11-26,12,14,24,26,30,18
175,2002-11-19,8,12,17,19,24,5
174,2002-11-12,1,3,8,21,22,2
173,2002-11-05,11,18,20,22,29,10
172,2002-10-29,1,4,14,21,28,3
171,2002-10-22,2,6,9,12,31,17
170,2002-10-15,2,7,14,20,22,5
169,2002-10-08,8,15,18,25,31,13
168,2002-10-01,2,8,11,16,30,17
167,2002-09-24,11,19,20,25,26,23
166,2002-09-17,8,13,21,24,28,16
165,2002-09-10,9,16,24,25,26,20
164,2002-09-03,7,9,16,26,30,28
163,2002-08-27,1,12,13,16,28,31
162,2002-08-20,6,14,17,23,31,20
161,2002-08-13,2,3,4,17,19,8
160,2002-08-06,4,23,24,30,31,27
159,2002-07-30,7,11,16,23,24,13
158,2002-07-23,3,14,16,20,31,25
157,2002-07-16,1,5,14,18,20,6
156,2002-07-09,2,3,13,19,31,15
155,2002-07-02,9,10,16,21,23,4
154,2002-06-25,2,10,16,19,22,17
153,2002-06-18,2,3,8,23,29,6
152,2002-06-11,1,2,11,22,30,27
151,2002-06-04,4,10,13,14,19,12
150,2002-05-28,2,11,16,24,26,4
149,2002-05-21,5,6,17,27,28,20
148,2002-05-14,2,7,19,26,31,24
147,2002-05-07,5,10,21,27,28,2
146,2002-04-30,1,6,11,12,18,8
145,2002-04-23,13,14,19,24,28,3
144,2002-04-16,4,13,14,19,28,5
143,2002-04-09,17,18,20,23,26,6
142,2002-04-02,10,11,24,25,30,8
141,2002-03-26,4,6,9,20,24,16
140,2002-03-19,8,9,17,20,29,6
139,2002-03-12,14,17,20,26,28,23
138,2002-03-05,1,4,21,30,31,16
137,2002-02-26,3,15,20,25,28,30
136,2002-02-19,5,11,14,18,28,8
135,2002-02-12,4,7,8,9,24,20
134,2002-02-05,4,5,13,16,18,20
133,2002-01-29,4,7,11,18,31,27
132,2002-01-22,7,13,17,19,24,18
131,2002-01-15,1,9,12,18,21,15
130,2002-01-08,3,4,11,17,26,5
129,2001-12-25,2,13,20,25,30,12
128,2001-12-18,3,6,22,24,27,26
127,2001-12-11,8,9,18,29,31,24
126,2001-12-04,7,16,18,22,25,21
125,2001-11-27,2,21,22,27,29,24
124,2001-11-20,5,7,17,19,27,9
123,2001-11-13,1,5,6,13,15,21
122,2001-11-06,1,8,23,27,28,9
121,2001-10-30,5,17,18,24,30,20
120,2001-10-23,8,12,14,18,27,24
119,2001-10-16,12,14,25,29,30,5
118,2001-10-09,2,4,12,20,23,14
117,2001-10-02,5,11,12,23,24,3
116,2001-09-25,2,7,13,18,23,11
115,2001-09-18,10,15,29,30,31,16
114,2001-09-11,3,5,6,7,11,8
113,2001-09-04,1,2,6,16,28,4
112,2001-08-28,5,7,15,26,27,1
111,2001-08-21,10,19,24,27,31,6
110,2001-08-14,3,7,13,22,27,2
109,2001-08-07,3,5,15,19,22,25
108,2001-07-31,6,10,20,27,29,19
107,2001-07-24,4,8,12,26,27,18
106,2001-07-17,3,5,11,12,18,2
105,2001-07-10,6,11,14,21,27,20
104,2001-07-03,3,4,7,21,30,31
103,2001-06-26,10,13,19,21,30,14
102,2001-06-19,5,10,11,25,28,23
101,2001-06-12,2,10,11,13,26,22
100,2001-06-05,11,12,19,20,31,3
99,2001-05-29,3,7,10,13,15,26
98,2001-05-22,1,2,9,11,20,4
97,2001-05-15,6,12,15,19,22,3
96,2001-05-08,1,5,6,14,27,17
95,2001-05-01,4,5,7,8,31,26
94,2001-04-24,16,19,20,26,29,27
93,2001-04-17,11,15,22,26,27,8
92,2001-04-10,2,3,11,22,30,31
91,2001-04-03,8,9,15,18,22,3
90,2001-03-27,6,12,14,21,27,15
89,2001-03-20,5,7,24,27,29,14
88,2001-03-13,4,19,26,27,30,3
87,2001-03-06,1,5,12,23,27,14
86,2001-02-27,2,8,13,20,24,9
85,2001-02-20,9,11,14,20,29,2
84,2001-02-13,1,15,29,30,31,16
83,2001-02-06,1,6,11,23,26,3
82,2001-01-30,1,3,11,27,30,8
81,2001-01-23,1,7,10,16,25,18
80,2001-01-16,7,10,13,18,22,4
79,2001-01-09,2,13,16,26,30,11
78,2000-12-26,4,11,19,20,22,28
77,2000-12-19,2,3,10,22,26,23
76,2000-12-12,6,11,13,16,23,3
75,2000-12-05,7,14,16,17,29,1
74,2000-11-28,4,6,16,22,28,9
73,2000-11-21,4,6,8,26,30,7
72,2000-11-14,8,10,24,28,30,12
71,2000-11-07,11,17,18,22,30,2
70,2000-10-31,1,5,7,17,21,15
69,2000-10-24,5,6,9,23,30,2
68,2000-10-17,5,6,21,22,24,11
67,2000-10-10,4,5,8,14,27,6
66,2000-10-03,5,6,12,17,20,1
65,2000-09-26,8,9,10,17,23,15
64,2000-09-19,5,10,11,12,23,15
63,2000-09-12,3,5,6,22,28,1
62,2000-09-05,5,10,13,17,29,6
61,2000-08-29,9,23,24,29,30,5
60,2000-08-22,16,17,22,23,26,30
59,2000-08-15,9,15,20,21,22,10
58,2000-08-08,1,2,4,10,24,20
57,2000-08-01,3,21,23,27,29,13
56,2000-07-25,1,3,7,10,27,16
55,2000-07-18,4,10,11,18,31,3
54,2000-07-11,4,5,15,18,21,16
53,2000-07-04,4,13,14,15,17,30
52,2000-06-27,4,10,12,26,31,20
51,2000-06-20,5,7,15,16,31,2
50,2000-06-13,4,5,6,8,10,26
49,2000-06-06,10,13,14,23,25,12
48,2000-05-30,2,9,11,13,31,18
47,2000-05-23,2,6,8,17,29,10
46,2000-05-16,2,10,22,23,26,6
45,2000-05-09,7,13,19,24,26,11
44,2000-05-02,5,18,20,25,27,11
43,2000-04-25,3,6,11,16,30,5
42,2000-04-18,2,5,19,24,31,28
41,2000-04-11,10,16,19,22,26,29
40,2000-04-04,4,16,24,25,27,5
39,2000-03-28,1,9,15,26,30,11
38,2000-03-21,11,16,17,19,31,4
37,2000-03-14,6,7,10,16,31,20
36,2000-03-07,4,8,15,16,21,25
35,2000-02-29,10,11,18,24,26,29
34,2000-02-22,4,9,18,28,29,12
33,2000-02-15,2,3,8,9,30,23
32,2000-02-08,2,11,13,16,24,20
31,2000-02-01,14,20,21,24,28,17
30,2000-01-25,10,15,17,18,30,16
29,2000-01-18,9,12,17,26,31,15
28,2000-01-11,2,9,15,22,29,11
27,2000-01-04,10,16,20,21,31,14
26,1999-12-28,7,8,9,14,15,4
25,1999-12-21,2,3,7,18,29,15
24,1999-12-14,12,14,19,26,28,15
23,1999-12-07,2,13,18,22,26,15
22,1999-11-30,4,6,26,28,30,14
21,1999-11-23,3,15,22,25,31,6
20,1999-11-16,14,20,22,25,30,15
19,1999-11-09,2,9,10,22,27,1
18,1999-11-02,1,14,16,23,25,27
17,1999-10-26,10,18,20,25,27,1
16,1999-10-19,2,20,24,26,27,23
15,1999-10-12,6,8,17,23,24,22
14,1999-10-05,2,21,24,26,29,28
13,1999-09-28,6,11,18,25,28,20
12,1999-09-14,5,9,13,16,19,21
11,1999-08-31,17,18,19,20,30,31
10,1999-08-17,8,19,21,23,30,5
9,1999-08-03,2,11,12,13,28,15
8,1999-07-20,22,24,25,28,30,21
7,1999-07-06,3,24,25,26,31,2
6,1999-06-22,2,11,16,24,29,4
5,1999-06-08,8,9,15,21,25,23
4,1999-05-25,11,12,14,20,31,29
3,1999-05-11,1,8,10,24,30,28
2,1999-04-27,2,11,12,21,30,28
1,1999-04-13,1,3,17,20,25,26
